0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.801558012444801404e-01,2.800137506990677538e-01,2.798642958593646202e-01,2.796597027059844476e-01,2.791623225674643161e-01,2.789166782741275830e-01,2.774073600195663958e-01,2.766124508228503531e-01,2.756521138851503183e-01,2.749688815159334609e-01
5.602093912371683970e-01,5.599167481833666749e-01,5.596751895793682374e-01,5.592071602586460299e-01,5.582109518089073408e-01,5.577250722100590696e-01,5.547492086174012904e-01,5.531208891832009034e-01,5.512538384539343861e-01,5.499008930070248269e-01
8.401620952537972586e-01,8.397104356263209723e-01,8.394334538007094393e-01,8.386437473894707839e-01,8.371473890484932845e-01,8.364265482693657994e-01,8.320267626725723620e-01,8.295270905252457583e-01,8.268063373186322895e-01,8.247971402247943340e-01
1.120015238583013328e+00,1.119396256167975556e+00,1.119139861119507584e+00,1.117970838755278473e+00,1.115973135537251526e+00,1.115022472771591611e+00,1.109241238745489078e+00,1.105832830010277767e+00,1.102310773980011760e+00,1.099658728727761936e+00
1.399770146527033576e+00,1.398975652915098511e+00,1.398795184088324595e+00,1.397189808938332112e+00,1.394689692453629837e+00,1.393514211895833910e+00,1.386393853081444583e+00,1.382039882519214835e+00,1.377768311828463155e+00,1.374486763883679741e+00
1.679428144401961642e+00,1.678450068941366391e+00,1.678400195216649848e+00,1.676302032446877810e+00,1.673298560903631493e+00,1.671903131682025645e+00,1.663485821613807758e+00,1.658150022654893530e+00,1.653180114144909174e+00,1.649282350871888569e+00
1.958990557537963362e+00,1.957820947287864710e+00,1.957955666971868736e+00,1.955308883715347612e+00,1.951801241921265806e+00,1.950190598032423228e+00,1.940518359967398521e+00,1.934165024744309180e+00,1.928547344101746663e+00,1.924046594685529410e+00
2.238458711279808444e+00,2.237089730963195855e+00,2.237462371779779691e+00,2.234211737104739193e+00,2.230199236468944690e+00,2.228377976713018516e+00,2.217492683461745884e+00,2.210086662841202809e+00,2.203871164763945067e+00,2.198780600134270458e+00
2.517833930986988822e+00,2.516257862943811041e+00,2.516921082025254108e+00,2.513011966902824579e+00,2.508494045437547726e+00,2.506466633354902829e+00,2.494410007114302275e+00,2.485916710728114598e+00,2.479152739089705015e+00,2.473485471845988659e+00
2.797117542034460058e+00,2.795326786174323175e+00,2.796332570053239319e+00,2.791710947324680170e+00,2.786687169647084961e+00,2.784457933455673828e+00,2.771271545644040657e+00,2.761656941919134134e+00,2.754393229931911602e+00,2.748162314269906759e+00
3.076310869812474813e+00,3.074297943567673830e+00,3.075697608169196240e+00,3.070310052512880805e+00,3.064780109847022871e+00,3.062353242381014251e+00,3.048078513474564932e+00,3.037309129662196128e+00,3.029593800038814511e+00,3.022812231678261075e+00
3.355415239727296495e+00,3.353172778005672594e+00,3.355016968640018860e+00,3.348810656537777763e+00,3.342774366716418477e+00,3.340153925366056598e+00,3.324832124737655548e+00,3.312875046941440971e+00,3.304755612055160885e+00,3.297436328169199182e+00
3.634431977201484809e+00,3.631952732339030820e+00,3.634291423694532952e+00,3.627214133398012130e+00,3.620671440864538404e+00,3.617861347516811765e+00,3.601533593276659673e+00,3.588356466479890816e+00,3.579879828523066188e+00,3.572035707668774762e+00
